Package,Version,Ecosystem
ai3,= 0.3.5,npm
aonote,= 0.11.1,npm
arnext,= 0.1.5,npm
arnext-arkb,= 0.0.2,npm
arjson,= 0.1.4,npm
atomic-notes,= 0.5.3,npm
create-arnext-app,= 0.0.10,npm
cwao,= 0.5.6,npm
cwao-tools,= 0.3.1,npm
cwao-units,= 0.8.3,npm
fpjson-lang,= 0.1.7,npm
hbsig,= 0.3.1,npm
hbsig,= 0.3.2,npm
monade,= 0.0.7,npm
roidjs,= 0.1.7,npm
test-ajs,= 0.1.19,npm
test-weavedb-sdk,= 1.1.1,npm
testnpmnmp,= 1.0.21,npm
wao,= 0.41.2,npm
wao,= 0.41.3,npm
wao,= 0.41.4,npm
warp-contracts-plugin-deploy-test,= 3.0.1,npm
wdb-cli,= 0.1.1,npm
wdb-core,= 0.1.2,npm
wdb-sdk,= 0.1.2,npm
weavedb-base,= 0.45.3,npm
weavedb-base,= 0.45.4,npm
weavedb-client,= 0.45.3,npm
weavedb-console,= 0.2.1,npm
weavedb-contracts,= 0.45.2,npm
weavedb-exm-sdk,= 0.7.4,npm
weavedb-exm-sdk-web,= 0.7.4,npm
weavedb-lite,= 0.1.1,npm
weavedb-node-client,= 0.45.3,npm
weavedb-offchain,= 0.45.4,npm
weavedb-sdk,= 0.45.3,npm
weavedb-sdk-base,= 0.21.1,npm
weavedb-sdk-node,= 0.45.3,npm
weavedb-tools,= 0.45.3,npm
weavedb-warp-contracts-plugin-deploy,= 1.0.11,npm
zkjson,= 0.8.5,npm
