Package,Version,Ecosystem
easy-day-js,= 1.11.22,npm
create-mastra,= 1.13.1,npm
mastra,= 1.13.1,npm
@mastra/acp,= 0.2.2,npm
@mastra/agent-browser,= 0.3.2,npm
@mastra/agent-builder,= 1.0.42,npm
@mastra/agentcore,= 0.2.2,npm
@mastra/agentfs,= 0.1.1,npm
@mastra/ai-sdk,= 1.4.6,npm
@mastra/arize,= 1.2.3,npm
@mastra/arthur,= 0.3.3,npm
@mastra/astra,= 1.0.2,npm
@mastra/auth,= 1.0.3,npm
@mastra/auth-auth0,= 1.0.2,npm
@mastra/auth-better-auth,= 1.0.4,npm
@mastra/auth-clerk,= 1.0.3,npm
@mastra/auth-cloud,= 1.1.4,npm
@mastra/auth-firebase,= 1.0.1,npm
@mastra/auth-okta,= 0.0.5,npm
@mastra/auth-studio,= 1.2.4,npm
@mastra/auth-supabase,= 1.0.2,npm
@mastra/auth-workos,= 1.5.3,npm
@mastra/azure,= 0.2.3,npm
@mastra/blaxel,= 0.4.2,npm
@mastra/braintrust,= 1.1.4,npm
@mastra/brightdata,= 0.2.2,npm
@mastra/browser-firecrawl,= 0.1.1,npm
@mastra/browser-viewer,= 0.1.3,npm
@mastra/chroma,= 1.0.2,npm
@mastra/claude,= 1.0.3,npm
@mastra/clickhouse,= 1.10.1,npm
@mastra/client-js,= 1.24.1,npm
@mastra/cloud,= 0.1.24,npm
@mastra/cloudflare,= 1.4.2,npm
@mastra/cloudflare-d1,= 1.0.7,npm
@mastra/codemod,= 1.0.4,npm
@mastra/convex,= 1.2.2,npm
@mastra/core,= 1.42.1,npm
@mastra/couchbase,= 1.0.4,npm
@mastra/cursor,= 0.2.1,npm
@mastra/dane,= 1.0.2,npm
@mastra/datadog,= 1.2.5,npm
@mastra/daytona,= 0.4.2,npm
@mastra/deployer,= 1.42.1,npm
@mastra/deployer-cloud,= 1.42.1,npm
@mastra/deployer-cloudflare,= 1.1.44,npm
@mastra/deployer-netlify,= 1.1.20,npm
@mastra/deployer-vercel,= 1.1.38,npm
@mastra/docker,= 0.3.1,npm
@mastra/dsql,= 1.0.3,npm
@mastra/duckdb,= 1.4.3,npm
@mastra/dynamodb,= 1.0.9,npm
@mastra/e2b,= 0.3.4,npm
@mastra/editor,= 0.11.3,npm
@mastra/elasticsearch,= 1.2.1,npm
@mastra/engine,= 0.1.1,npm
@mastra/evals,= 1.3.1,npm
@mastra/express,= 1.3.31,npm
@mastra/fastembed,= 1.1.3,npm
@mastra/fastify,= 1.3.31,npm
@mastra/files-sdk,= 0.2.1,npm
@mastra/gcs,= 0.2.3,npm
@mastra/github-signals,= 0.1.2,npm
@mastra/google-cloud-pubsub,= 1.0.6,npm
@mastra/google-drive,= 0.1.1,npm
@mastra/hono,= 1.4.26,npm
@mastra/inngest,= 1.5.2,npm
@mastra/koa,= 1.5.14,npm
@mastra/laminar,= 1.2.3,npm
@mastra/lance,= 1.0.7,npm
@mastra/langfuse,= 1.3.6,npm
@mastra/langsmith,= 1.2.4,npm
@mastra/libsql,= 1.13.1,npm
@mastra/loggers,= 1.1.3,npm
@mastra/longmemeval,= 1.0.50,npm
@mastra/mcp,= 1.10.1,npm
@mastra/mcp-docs-server,= 1.1.47,npm
@mastra/mcp-registry-registry,= 1.0.2,npm
@mastra/mem0,= 0.1.14,npm
@mastra/memory,= 1.20.4,npm
@mastra/modal,= 0.2.2,npm
@mastra/mongodb,= 1.9.3,npm
@mastra/mssql,= 1.3.2,npm
@mastra/mysql,= 0.1.1,npm
@mastra/nestjs,= 0.1.15,npm
@mastra/node-audio,= 0.1.8,npm
@mastra/node-speaker,= 0.1.1,npm
@mastra/observability,= 1.14.2,npm
@mastra/openai,= 1.0.2,npm
@mastra/opencode,= 0.0.47,npm
