Package,Version,Ecosystem
@contaazul/n8n-nodes-contaazul,= 0.3.26,npm
@ethlete/cdk,= 4.71.2,npm
@ethlete/cli,= 2.0.1,npm
@ethlete/components,= 3.3.1,npm
@ethlete/contentful,= 3.9.1,npm
@ethlete/core,= 4.31.1,npm
@ethlete/dsp,= 0.3.1,npm
@ethlete/query,= 5.43.2,npm
@ethlete/theming,= 2.7.1,npm
@ethlete/types,= 1.11.4,npm
@forjacms/analytics,= 1.8.4 || = 1.8.5,npm
@forjacms/client,= 1.8.4 || = 1.8.5,npm
@forjacms/sections,= 1.8.4 || = 1.8.5,npm
@forjacms/sections-react,= 1.8.4 || = 1.8.5,npm
@immobiliarelabs/backstage-plugin-gitlab,= 1.0.1 || = 2.1.2 || = 3.0.3 || = 4.0.2 || = 5.2.1 || = 6.13.1 || = 7.0.2,npm
@immobiliarelabs/backstage-plugin-gitlab-backend,= 3.0.3 || = 4.0.2 || = 5.2.1 || = 6.13.1 || = 7.0.2,npm
@immobiliarelabs/backstage-plugin-ldap-auth,= 1.1.4 || = 2.0.5 || = 3.0.2 || = 4.3.2 || = 5.2.1,npm
@immobiliarelabs/backstage-plugin-ldap-auth-backend,= 1.1.3 || = 2.0.5 || = 3.0.2 || = 4.3.2 || = 5.2.1,npm
@jagreehal/workflow,= 1.16.1,npm
@redhat-cloud-services/chrome,= 2.3.1 || = 2.3.2 || = 2.3.4,npm
@redhat-cloud-services/compliance-client,= 4.0.3 || = 4.0.4 || = 4.0.6,npm
@redhat-cloud-services/config-manager-client,= 5.0.4 || = 5.0.5 || = 5.0.7,npm
@redhat-cloud-services/entitlements-client,= 4.0.11 || = 4.0.12 || = 4.0.14,npm
@redhat-cloud-services/eslint-config-redhat-cloud-services,= 3.2.1 || = 3.2.2 || = 3.2.4,npm
@redhat-cloud-services/frontend-components,= 7.7.2 || = 7.7.3 || = 7.7.5,npm
@redhat-cloud-services/frontend-components-advisor-components,= 3.8.2 || = 3.8.3 || = 3.8.4 || = 3.8.5 || = 3.8.6,npm
@redhat-cloud-services/frontend-components-config,= 6.11.3 || = 6.11.4 || = 6.11.6,npm
@redhat-cloud-services/frontend-components-config-utilities,= 4.11.2 || = 4.11.3 || = 4.11.5,npm
@redhat-cloud-services/frontend-components-notifications,= 6.9.2 || = 6.9.3 || = 6.9.5,npm
@redhat-cloud-services/frontend-components-remediations,= 4.9.2 || = 4.9.3 || = 4.9.5,npm
@redhat-cloud-services/frontend-components-testing,= 1.2.1 || = 1.2.2 || = 1.2.4,npm
@redhat-cloud-services/frontend-components-translations,= 4.4.1 || = 4.4.2 || = 4.4.4,npm
@redhat-cloud-services/frontend-components-utilities,= 7.4.1 || = 7.4.2 || = 7.4.4,npm
@redhat-cloud-services/hcc-feo-mcp,= 0.3.1 || = 0.3.2 || = 0.3.4,npm
@redhat-cloud-services/hcc-kessel-mcp,= 0.3.1 || = 0.3.2 || = 0.3.4,npm
@redhat-cloud-services/hcc-pf-mcp,= 0.6.1 || = 0.6.2 || = 0.6.4,npm
@redhat-cloud-services/host-inventory-client,= 5.0.3 || = 5.0.4 || = 5.0.6,npm
@redhat-cloud-services/insights-client,= 4.0.4 || = 4.0.5 || = 4.0.7,npm
@redhat-cloud-services/integrations-client,= 6.0.4 || = 6.0.5 || = 6.0.7,npm
@redhat-cloud-services/javascript-clients-shared,= 2.0.8 || = 2.0.9 || = 2.0.11,npm
@redhat-cloud-services/notifications-client,= 6.1.4 || = 6.1.5 || = 6.1.7,npm
@redhat-cloud-services/patch-client,= 4.0.4 || = 4.0.5 || = 4.0.6 || = 4.0.7,npm
@redhat-cloud-services/quickstarts-client,= 4.0.11 || = 4.0.12 || = 4.0.14,npm
@redhat-cloud-services/rbac-client,= 9.0.3 || = 9.0.4 || = 9.0.6,npm
@redhat-cloud-services/remediations-client,= 4.0.4 || = 4.0.5 || = 4.0.7,npm
@redhat-cloud-services/rule-components,= 4.7.2 || = 4.7.3 || = 4.7.5,npm
@redhat-cloud-services/sources-client,= 3.0.10 || = 3.0.11 || = 3.0.13,npm
@redhat-cloud-services/topological-inventory-client,= 3.0.10 || = 3.0.11 || = 3.0.13,npm
@redhat-cloud-services/tsc-transform-imports,= 1.2.2 || = 1.2.3 || = 1.2.4 || = 1.2.5 || = 1.2.6,npm
@redhat-cloud-services/types,= 3.6.1 || = 3.6.2 || = 3.6.4,npm
@redhat-cloud-services/vulnerabilities-client,= 2.1.8 || = 2.1.9 || = 2.1.11,npm
@vapi-ai/server-sdk,= 0.11.1 || = 0.11.2 || = 1.2.1 || = 1.2.2,npm
ai-sdk-ollama,= 0.13.1 || = 1.1.1 || = 2.2.1 || = 3.8.5,npm
autotel,= 2.26.4 || = 3.4.3,npm
autotel-adapters,= 0.3.5,npm
autotel-audit,= 0.1.15,npm
autotel-aws,= 0.13.10,npm
autotel-backends,= 2.12.26,npm
autotel-cli,= 0.8.14,npm
autotel-cloudflare,= 2.18.16,npm
autotel-devtools,= 0.1.1 || = 1.0.4 || = 2.1.1 || = 3.0.2 || = 4.0.1 || = 5.1.1 || = 6.1.2,npm
autotel-drizzle,= 0.0.27,npm
autotel-edge,= 3.16.13,npm
autotel-eventcatalog,= 1.0.1 || = 2.0.1 || = 3.0.1 || = 4.0.2 || = 5.0.1,npm
autotel-hono,= 0.4.26,npm
autotel-mcp,= 0.1.14 || = 2.0.1 || = 3.0.1 || = 4.0.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1 || = 9.0.1 || = 10.0.1 || = 11.0.1 || = 13.0.1 || = 14.0.1 || = 15.0.2 || = 16.0.1 || = 17.0.2 || = 18.0.1 || = 19.0.1 || = 20.0.1 || = 21.1.1 || = 22.0.1 || = 23.0.1 || = 24.0.1 || = 25.0.1 || = 26.0.2 || = 27.0.1 || = 28.0.3 || = 29.0.1,npm
autotel-mcp-instrumentation,= 29.0.2 || = 30.0.5 || = 31.0.1 || = 32.0.1 || = 33.0.2 || = 34.0.1,npm
