Package,Version,Ecosystem
@antv/a8,= 0.1.1 || = 0.2.1,npm
@antv/adjust,= 0.3.5 || = 0.4.5,npm
@antv/algorithm,= 0.2.26 || = 0.3.26,npm
@antv/async-hook,= 2.3.9 || = 2.4.9,npm
@antv/attr,= 0.4.5 || = 0.5.5,npm
@antv/ava,= 3.5.1 || = 3.6.1,npm
@antv/ava-react,= 3.4.2 || = 3.5.2,npm
@antv/awards,= 0.1.9 || = 0.2.9,npm
@antv/calendar-heatmap,= 1.2.2 || = 1.3.2,npm
@antv/chart-linter,= 1.2.6 || = 1.3.6,npm
@antv/chart-node-g6,= 0.1.4 || = 0.2.4,npm
@antv/chart-visualization-skills,= 0.2.3 || = 0.3.3,npm
@antv/ckb,= 2.1.4 || = 2.2.4,npm
@antv/color-schema,= 0.3.3 || = 0.4.3,npm
@antv/color-util,= 2.1.6 || = 2.2.6,npm
@antv/component,= 2.2.11 || = 2.3.11,npm
@antv/coord,= 0.5.7 || = 0.6.7,npm
@antv/d3-color,= 1.1.0 || = 1.2.0,npm
@antv/d3-interpolate,= 1.1.3 || = 1.2.3,npm
@antv/data-samples,= 1.1.1 || = 1.2.1,npm
@antv/data-set,= 0.12.8 || = 0.13.8,npm
@antv/data-wizard,= 2.1.4 || = 2.2.4,npm
@antv/dipper-component,= 0.1.4 || = 0.2.4,npm
@antv/dipper-hooks,= 0.3.1 || = 0.4.1,npm
@antv/dipper-map,= 1.1.10 || = 1.2.10,npm
@antv/dom-util,= 2.1.4 || = 2.2.4,npm
@antv/dumi-theme-antv,= 0.9.4 || = 0.10.4,npm
@antv/dw-analyzer,= 1.2.5 || = 1.3.5,npm
@antv/dw-random,= 1.2.7 || = 1.3.7,npm
@antv/dw-transform,= 1.2.7 || = 1.3.7,npm
@antv/dw-util,= 1.2.4 || = 1.3.4,npm
@antv/event-emitter,= 0.2.3 || = 0.3.3,npm
@antv/expr,= 1.1.2 || = 1.2.2,npm
@antv/f-charts,= 0.1.0 || = 0.2.0,npm
@antv/f-engine,= 1.11.0 || = 1.12.0,npm
@antv/f-lottie,= 1.11.0 || = 1.12.0,npm
@antv/f-my,= 1.11.0 || = 1.12.0,npm
@antv/f-react,= 1.11.0 || = 1.12.0,npm
@antv/f-test-utils,= 1.1.9 || = 1.2.9,npm
@antv/f-vue,= 1.11.0 || = 1.12.0,npm
@antv/f-wx,= 1.11.0 || = 1.12.0,npm
@antv/f2,= 5.15.0 || = 5.16.0,npm
@antv/f2-algorithm,= 5.8.0 || = 5.9.0,npm
@antv/f2-canvas,= 1.1.5 || = 1.2.5,npm
@antv/f2-context,= 0.1.1 || = 0.2.1,npm
@antv/f2-graphic,= 0.1.16 || = 0.2.16,npm
@antv/f2-my,= 4.1.52 || = 4.2.52,npm
@antv/f2-react,= 5.15.0 || = 5.16.0,npm
@antv/f2-site,= 4.1.42 || = 4.2.42,npm
@antv/f2-vue,= 4.1.33 || = 4.2.33,npm
@antv/f2-wordcloud,= 5.15.0 || = 5.16.0,npm
@antv/f2-wx,= 4.1.51 || = 4.2.51,npm
@antv/f6,= 0.1.19 || = 0.2.19,npm
@antv/f6-alipay,= 0.1.7 || = 0.2.7,npm
@antv/f6-core,= 0.1.2 || = 0.2.2,npm
@antv/f6-element,= 0.1.1 || = 0.2.1,npm
@antv/f6-hammerjs,= 0.1.2 || = 0.2.2,npm
@antv/f6-plugin,= 1.1.6 || = 1.2.6,npm
@antv/f6-ui,= 1.1.3 || = 1.2.3,npm
@antv/f6-wx,= 0.1.7 || = 0.2.7,npm
@antv/g,= 6.4.1 || = 6.5.1,npm
@antv/g-base,= 0.6.16 || = 0.7.16,npm
@antv/g-camera-api,= 2.1.45 || = 2.2.45,npm
@antv/g-canvas,= 2.3.0 || = 2.4.0,npm
@antv/g-canvaskit,= 1.2.1 || = 1.3.1,npm
@antv/g-compat,= 1.1.11 || = 1.2.11,npm
@antv/g-components,= 2.1.42 || = 2.2.42,npm
@antv/g-css-layout-api,= 1.1.38 || = 1.2.38,npm
@antv/g-css-typed-om-api,= 1.1.38 || = 1.2.38,npm
@antv/g-device-api,= 1.7.13 || = 1.8.13,npm
@antv/g-dom-mutation-observer-api,= 2.1.42 || = 2.2.42,npm
@antv/g-gesture,= 3.1.42 || = 3.2.42,npm
@antv/g-image-exporter,= 1.1.42 || = 1.2.42,npm
@antv/g-layout-blocklike,= 1.8.49 || = 1.9.49,npm
@antv/g-lite,= 2.8.0 || = 2.9.0,npm
@antv/g-lottie-player,= 1.2.1 || = 1.3.1,npm
@antv/g-math,= 3.2.0 || = 3.3.0,npm
@antv/g-mobile,= 1.2.5 || = 1.3.5,npm
@antv/g-mobile-canvas,= 1.2.1 || = 1.3.1,npm
@antv/g-mobile-canvas-element,= 1.1.42 || = 1.2.42,npm
@antv/g-mobile-svg,= 1.2.1 || = 1.3.1,npm
@antv/g-mobile-webgl,= 1.2.1 || = 1.3.1,npm
@antv/g-pattern,= 2.1.42 || = 2.2.42,npm
@antv/g-perf,= 1.1.0 || = 1.2.0,npm
@antv/g-plugin-3d,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-a11y,= 1.5.1 || = 1.6.1,npm
@antv/g-plugin-annotation,= 1.3.0 || = 1.4.0,npm
@antv/g-plugin-box2d,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-canvaskit-renderer,= 2.4.1 || = 2.5.1,npm
@antv/g-plugin-canvas-path-generator,= 2.2.26 || = 2.3.26,npm
@antv/g-plugin-canvas-picker,= 2.4.1 || = 2.5.1,npm
@antv/g-plugin-canvas-renderer,= 2.6.1 || = 2.7.1,npm
@antv/g-plugin-control,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-css-select,= 2.2.1 || = 2.3.1,npm
