Package,Version,Ecosystem
@evolvconsulting/evolv-coder-lite,= 1.2.0,npm
@jagreehal/workflow,= 1.16.1,npm
@vapi-ai/server-sdk,= 0.11.1 || = 0.11.2 || = 1.2.1 || = 1.2.2,npm
ai-sdk-ollama,= 0.13.1 || = 1.1.1 || = 2.2.1 || = 3.8.5,npm
autotel,= 2.26.4 || = 3.4.3,npm
autotel-adapters,= 0.3.5,npm
autotel-audit,= 0.1.15,npm
autotel-aws,= 0.13.10,npm
autotel-backends,= 2.12.26,npm
autotel-cli,= 0.8.14,npm
autotel-cloudflare,= 2.18.16,npm
autotel-devtools,= 0.1.1 || = 1.0.4 || = 2.1.1 || = 3.0.2 || = 4.0.1 || = 5.1.1 || = 6.1.2,npm
autotel-drizzle,= 0.0.27,npm
autotel-edge,= 3.16.13,npm
autotel-eventcatalog,= 1.0.1 || = 2.0.1 || = 3.0.1 || = 4.0.2 || = 5.0.1,npm
autotel-hono,= 0.4.26,npm
autotel-mcp,= 0.1.14 || = 2.0.1 || = 3.0.1 || = 4.0.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1 || = 9.0.1 || = 10.0.1 || = 11.0.1 || = 13.0.1 || = 14.0.1 || = 15.0.2 || = 16.0.1 || = 17.0.2 || = 18.0.1 || = 19.0.1 || = 20.0.1 || = 21.1.1 || = 22.0.1 || = 23.0.1 || = 24.0.1 || = 25.0.1 || = 26.0.2 || = 27.0.1 || = 28.0.3,npm
autotel-mcp-instrumentation,= 29.0.2 || = 30.0.5 || = 31.0.1 || = 32.0.1 || = 33.0.2 || = 34.0.1,npm
autotel-mongoose,= 0.0.3 || = 1.0.2 || = 2.0.5 || = 3.0.1 || = 4.0.1 || = 5.0.2 || = 6.0.1,npm
autotel-pact,= 0.2.2 || = 1.0.3,npm
autotel-playwright,= 0.4.32,npm
autotel-plugins,= 0.19.26,npm
autotel-sentry,= 0.5.13,npm
autotel-subscribers,= 4.1.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1 || = 9.0.1 || = 10.0.1 || = 11.0.1 || = 12.0.1 || = 13.0.1 || = 14.1.1 || = 15.0.1 || = 16.0.2 || = 17.0.1 || = 18.0.3 || = 19.0.1 || = 20.0.1 || = 21.0.1 || = 22.0.2 || = 23.0.2 || = 24.0.1 || = 25.0.1 || = 26.0.1 || = 27.0.2 || = 28.0.2 || = 29.0.6 || = 30.0.4 || = 31.1.4,npm
autotel-tanstack,= 1.13.27,npm
autotel-terminal,= 2.1.1 || = 3.0.1 || = 4.0.2 || = 5.0.1 || = 6.0.3 || = 7.0.1 || = 8.0.1 || = 9.0.1 || = 10.0.2 || = 11.0.1 || = 12.0.1 || = 13.0.1 || = 14.0.1 || = 15.0.2 || = 16.0.2 || = 17.0.10 || = 18.0.4 || = 19.0.8 || = 20.0.2 || = 21.0.1 || = 22.0.2 || = 23.0.3,npm
autotel-vitest,= 0.4.26,npm
autotel-web,= 1.12.2,npm
awaitly,= 1.33.3,npm
awaitly-analyze,= 0.24.2 || = 1.1.1 || = 2.0.1 || = 3.0.1 || = 4.0.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1,npm
awaitly-libsql,= 0.1.1 || = 1.0.1 || = 2.0.1 || = 3.0.1 || = 4.0.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1 || = 9.0.1 || = 10.0.1 || = 11.0.1 || = 12.0.1 || = 13.0.1 || = 14.0.1 || = 15.0.1 || = 16.0.1 || = 17.0.1 || = 18.1.1 || = 19.0.1 || = 20.0.1 || = 21.0.1 || = 22.0.1,npm
awaitly-mongo,= 0.1.1 || = 1.0.1 || = 2.0.1 || = 3.0.1 || = 4.0.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1 || = 9.1.1 || = 10.0.1 || = 11.0.1 || = 12.0.1 || = 13.0.1 || = 14.0.1 || = 15.0.1 || = 16.0.1 || = 17.0.1 || = 18.0.1 || = 19.1.1 || = 20.0.1 || = 21.0.1 || = 22.0.1 || = 23.0.1,npm
awaitly-postgres,= 0.1.1 || = 1.0.1 || = 2.0.1 || = 3.0.2 || = 4.0.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1 || = 9.0.1 || = 10.0.1 || = 11.0.1 || = 12.0.1 || = 13.0.1 || = 14.0.1 || = 15.0.1 || = 16.0.1 || = 17.0.1 || = 18.0.1 || = 19.1.1 || = 20.0.1 || = 21.0.1 || = 22.0.1 || = 23.0.1,npm
awaitly-visualizer,= 1.0.1 || = 2.0.2 || = 3.0.1 || = 4.0.1 || = 5.0.1 || = 6.0.1 || = 7.0.1 || = 8.0.1 || = 9.0.1 || = 10.0.1 || = 11.0.1 || = 12.0.1 || = 13.0.1 || = 14.0.1 || = 15.0.1 || = 16.0.1 || = 17.0.1 || = 18.1.1 || = 19.0.1 || = 20.0.2 || = 21.0.1 || = 22.0.2,npm
effect-analyzer,= 0.3.1,npm
